companyname,companywebsite,companyemaildomain,linkedincompanypageurl,stocksymbol,industry,city,state,companycountry,zipcode
Water Corporation of WA Leederville,watercorporation.com.au,watercorporation.com.au,,,,,,AU,
Macquarie Technology Operations Pty Ltd,macquarietechnologygroup.com,macquarietechnologygroup.com,,,,,,AU,
Darling Downs Hospital & Health Service,darlingdownsautoglass.com.au,darlingdownsautoglass.com.au,,,,,,AU,
Webuild S.P.A. Australia,webuildgroup.com,webuildgroup.com,,,,,,AU,
SA Water Corporation Head Office Adelaide,sawater.com.au,sawater.com.au,,,,,,AU,
Port Authority of NSW,portauthoritynsw.com.au,portauthoritynsw.com.au,,,,,,AU,
WA Health Department,health.wa.gov.au,health.wa.gov.au,,,,,,AU,
Red Energy Pty Ltd East Richmond,redenergy.com.au,redenergy.com.au,,,,,,AU,
Costco Wholesale Australia Pty Ltd,costco.com,costco.com,,,,,,AU,
Dexus Property Group The Trustee for Dexus CPA Trust,dexus.com,dexus.com,,,,,,AU,
Orora Ltd Hawthorn,ororabeverage.com,ororabeverage.com,,,,,,AU,
Alpha Hpa Ltd,alphahpa.com.au,alphahpa.com.au,,,,,,AU,
Energy Queensland Ltd,energyq.com.au,energyq.com.au,,,,,,AU,
QBUILD Dept Of Housing & Public Works,qbuild.com,qbuild.com,,,,,,AU,
Multiplex Pty Ltd,multiplex.ua,multiplex.ua,,,,,,AU,
University Of New South Wales,newhaven.edu,newhaven.edu,,,,,,AU,
EVO Energy Greenway,evoenergy.com.au,evoenergy.com.au,,,,,,AU,
Australia Pacific Airports HQ Melbourne Pty Ltd,apeccables.com.au,apeccables.com.au,,,,,,AU,
Sydney Trains,sydneytools.com.au,sydneytools.com.au,,,,,,AU,
Nufarm Australia Ltd,nufarm.com.au,nufarm.com.au,,,,,,AU,
Essential Energy Grafton,essentialenergy.com.au,essentialenergy.com.au,,,,,,AU,
Transpower New Zealand LTD,transpower.cc,transpower.cc,,,,,,NZ,
Saputo Dairy Australia Pty Ltd Head Office,saputodairyaustralia.com.au,saputodairyaustralia.com.au,,,,,,AU,
NSW Department Of Education (MASTER),schoolinfrastructure.nsw.gov.au,schoolinfrastructure.nsw.gov.au,,,,,,AU,
University Of Queensland St Lucia,uqu.com.au,uqu.com.au,,,,,,AU,
Fletcher Insulation Pty Ltd Dandenong,insulation.com.au,insulation.com.au,,,,,,AU,
Northpower Ltd Whangarei (parent a/c),northpower.co.nz,northpower.co.nz,,,,,,NZ,
MACH Energy - Mt Pleasant Operations,machenergy.com,machenergy.com,,,,,,AU,
Hancock Coal Pty Ltd,hancockcoal.com.au,hancockcoal.com.au,,,,,,AU,
Siemens Ltd Bowen Hills,siemens.com,siemens.com,,,,,,AU,
Oracle Energy Pty Ltd,oracleenergy.com,oracleenergy.com,,,,,,AU,
Department For Infrastructure & Transport South Australia,dit.sa.gov.au,dit.sa.gov.au,,,,,,AU,
Department of Home Affairs Belconnen,homeaffairs.gov.au,homeaffairs.gov.au,,,,,,AU,
Whitehaven Coal Ltd Sydney,whitehavencoal.com.au,whitehavencoal.com.au,,,,,,AU,
Advanced Electrical Osborne Park,advanced-electrical.co.nz,advanced-electrical.co.nz,,,,,,NZ,
Hastings Deering (Australia) Ltd,hastingsdeering.com.au,hastingsdeering.com.au,,,,,,AU,
Ford Motor Company Of Australia Ltd,ford.com,ford.com,,,,,,AU,
Tronox Pigment Bunbury Ltd,tronox.com,tronox.com,,,,,,AU,
New Zealand Steel Auckland,nzsteel.co.nz,nzsteel.co.nz,,,,,,NZ,
CSIRO Acton,csiro.au,csiro.au,,,,,,AU,
Gold Fields Australia Pty Ltd,goldfieldscamp.com.au,goldfieldscamp.com.au,,,,,,AU,
Middy's Oakleigh,middys.com.au,middys.com.au,,,,,,AU,
Active Electrical Bendigo,goactive.nz,goactive.nz,,,,,,NZ,
SA Health Dept for Health & Wellbeing,sahealth.sa.gov.au,sahealth.sa.gov.au,,,,,,AU,
Endeavour Energy Parramatta,endeavourenergy.com.au,endeavourenergy.com.au,,,,,,AU,
Moolarben Coal Operations Pty Ltd,moolarbencoal.com.au,moolarbencoal.com.au,,,,,,AU,
Baiada Pty Ltd,baiada.com.au,baiada.com.au,,,,,,AU,
George Weston Foods Ltd North Ryde,georgeweston.com.au,georgeweston.com.au,,,,,,AU,
Rexel Welshpool DC,rexel.com,rexel.com,,,,,,AU,
Toyota Australia - Altona North (494 Grieve Pde) VIC,toyota.com.au,toyota.com.au,,,,,,AU,
Commonwealth Bank (CBA) Sydney,commbank.com.au,commbank.com.au,,,,,,AU,
Bega Cheese Ltd - Bega,begacheese.com.au,begacheese.com.au,,,,,,AU,
Queensland Alumina Ltd,qal.com.au,qal.com.au,,,,,,AU,
Department of VIC Roads - HQ,justice.nsw.gov.au,justice.nsw.gov.au,,,,,,AU,
Tatura Milk Industries Pty Ltd,tatmilk.com.au,tatmilk.com.au,,,,,,AU,
NSW Health - Northern Region,health.nsw.gov.au,health.nsw.gov.au,,,,,,AU,
Sydney Metro HQ,sydneymetroav.com.au,sydneymetroav.com.au,,,,,,AU,
Tasmanian Networks Pty Ltd Lenah Valley,tasmanian.com.au,tasmanian.com.au,,,,,,AU,
BMW Australia Ltd Mulgrave,bmwsydney.com.au,bmwsydney.com.au,,,,,,AU,
Port Of Newcastle Operations Pty Ltd Newcastle,portofnewcastle.com.au,portofnewcastle.com.au,,,,,,AU,
Jemena Asset Management Pty Ltd,jemena.com.au,jemena.com.au,,,,,,AU,
Mirvac Ltd Sydney,bourkeplace.com.au,bourkeplace.com.au,,,,,,AU,
Metcash Ltd,metcash.com,metcash.com,,,,,,AU,
Wilmar Sugar Pty Ltd Townsville,wilmarsugar-anz.com,wilmarsugar-anz.com,,,,,,AU,
Metro Trains Melbourne Melbourne (Spring St),metrotrains.com.au,metrotrains.com.au,,,,,,AU,
Volkswagen Group Australia Pty Ltd,volkswagengroup.com.au,volkswagengroup.com.au,,,,,,AU,
Pact Group Holdings (Australia) Pty Ltd,pactgroup.com,pactgroup.com,,,,,,AU,
Toowoomba City Council Australia,toowoombacityrealty.com.au,toowoombacityrealty.com.au,,,,,,AU,
