property_key,seq,phase,line_name,media,channel,description,targeting,geo,imp_target,video_view_target,reach_target,freq_cap,cpm_target,cpv_target,ctr_target,click_target,budget_aud,cost_type,measurable,match_pattern
Northbourne Gateway,1,Awareness,High Impact,Rich Media Programmatic,Trade Desk,"Canberra Times, Domain, The SMH, The Age, 7 News, REA Group, The Courier Mail, Brisbane Times, Financial Review, Gold Coast Bulletin, 9 News",HNW individuals that are actively researching property acquisition,25% ACT + 25% Sydney + 25% greater Brisbane + 25% greater NSW,2666667,800000,533333,5,15,0.05,0.0005,1333,40000,CPM,TRUE,HighImpact|High Impact|AWR|Awareness
Northbourne Gateway,2,Awareness,YouTube Video,Video,Google Ads,"Targeting videos concerned with investment, real estate, luxury lifestyle, finance, news",Google affinity + demo data to isolate delivery to a high net worth audience,ACT,266667,24000,,10,45,0.5,0.0005,133,12000,CPCV,TRUE,YouTube
Northbourne Gateway,3,Awareness,SEO,Organic Traffic,SEO,Optimisation of the website to improve visibility and ranking in organic search results. 33 hours per month.,,National,,,,,,,,,9600,$3500 per month,FALSE,
Northbourne Gateway,4,Demand Generation,LinkedIn,Paid Social,LinkedIn,Targeting professionals in Canberra,GEOCON client database - driving to the lead gen campaign landing page,ACT,75000,,15000,5,80,,0.0015,68,6000,CPM,TRUE,LinkedIn|LI
Northbourne Gateway,5,Conversion,Canberra Investors,Google Ads / Search,Google Ads,Being in front of an audience actively looking for your services via Google Search,"Landlords, property investors",National,14000,,,,,,0.025,350,16500,Paid to Google on GEOCON credit card,TRUE,Search
Northbourne Gateway,6,Conversion,Search Management Fee,Google Ads / Search,Google Ads,Google Search management fee,,NA,,,,,,,,,7500,Google Search Management Fee,FALSE,
Northbourne Gateway,7,Conversion,Retargeting,Programmatic,Trade Desk,Audience who engage with the campaign see reminders as they browse over the following weeks and months,Serve ads to those that have visited the site or watched a video to completion,National,800000,,80000,10,15,,0.002,720,12000,CPM,TRUE,Retargeting|RTG|_RT_
Northbourne Gateway,8,Conversion,Lookalike,Programmatic,Trade Desk,Utilising Google Analytics data to target more of the most engaged audiences,Serve ads to those that have visited the site or watched a video to completion,National,800000,,80000,10,15,,0.002,720,12000,CPM,TRUE,Lookalike|LAL|Similar
Northbourne Gateway,9,Conversion,Leads,Paid Social,Meta,Meta (Facebook and Instagram),Lead Gen formats targeting Canberra + Sydney,25% ACT + 25% Sydney + 25% greater Brisbane + 25% greater NSW,4500000,,450000,10,20,,0.002,4050,90000,CPM,TRUE,
